20
20
-0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043  1.06785159429753	0.301126967548449  1.30012125626287	 3.07222358501523  3.55801709865632	 1.20789803325036  3.06126328861535	 5.33502845327632  1.44280768713051	 1.70537788586308
2.48135523061906  -0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043  1.06785159429753	0.301126967548449  1.30012125626287	 3.07222358501523  3.55801709865632	 1.20789803325036  3.06126328861535	 5.33502845327632  1.44280768713051
2.88510634218328  2.48135523061906  -0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043  1.06785159429753	0.301126967548449  1.30012125626287	 3.07222358501523  3.55801709865632	 1.20789803325036  3.06126328861535	 5.33502845327632
-0.591476949480967	2.88510634218328  2.48135523061906  -0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043  1.06785159429753	0.301126967548449  1.30012125626287	 3.07222358501523  3.55801709865632	 1.20789803325036  3.06126328861535
2.51346206719976  -0.591476949480967	2.88510634218328  2.48135523061906  -0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043  1.06785159429753	0.301126967548449  1.30012125626287	 3.07222358501523  3.55801709865632	 1.20789803325036
4.11297501876532	2.51346206719976  -0.591476949480967	2.88510634218328  2.48135523061906  -0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043  1.06785159429753	0.301126967548449  1.30012125626287	 3.07222358501523  3.55801709865632
3.89385805312464  4.11297501876532	2.51346206719976  -0.591476949480967	2.88510634218328  2.48135523061906  -0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043  1.06785159429753	0.301126967548449  1.30012125626287	 3.07222358501523
2.14187383091357	3.89385805312464  4.11297501876532	2.51346206719976  -0.591476949480967	2.88510634218328  2.48135523061906  -0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043  1.06785159429753	0.301126967548449  1.30012125626287
4.82943607870485  2.14187383091357	3.89385805312464  4.11297501876532	2.51346206719976  -0.591476949480967	2.88510634218328  2.48135523061906  -0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043  1.06785159429753	0.301126967548449
3.17510119274106	4.82943607870485  2.14187383091357	3.89385805312464  4.11297501876532	2.51346206719976  -0.591476949480967	2.88510634218328  2.48135523061906  -0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043  1.06785159429753
2.53762293811458  3.17510119274106	4.82943607870485  2.14187383091357	3.89385805312464  4.11297501876532	2.51346206719976  -0.591476949480967	2.88510634218328  2.48135523061906  -0.165950149896969	0.509917634651478  3.27472614871712	 4.13759713387283  0.737831530675153	0.792077463687309  1.59122416634064	 0.154917752200803  3.40874524948390	3.86932544867043
